0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:23:19 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:23:20 +0900] "GET /board_ex09/board/list?bno=412&title=%EC%A0%9C%EB%AA%A9+%3A+jsp+%EC%97%B0%EC%8A%B5%EC%A4%91%EC%9E%85%EB%8B%88%EB%8B%A4%EC%9C%A0412&writer=%EC%B9%A8%ED%8E%AD%EB%8B%A8412&contents=%EB%82%B4%EC%9A%A9+%3A+%EC%9E%90%EB%B0%94+%ED%85%8C%EC%8A%A4%ED%8A%B8%EC%A4%91%EC%9E%85%EB%8B%88%EB%8B%A4%EC%9C%A0412&page=1&type=T&keyword=jsp HTTP/1.1" 200 7798
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:23:20 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:23:21 +0900] "GET /board_ex09/board/list?type=T&keyword= HTTP/1.1" 200 7772
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:23:21 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:27:32 +0900] "GET /board_ex09/board/list?type=T&keyword= HTTP/1.1" 200 7911
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:27:32 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:28:56 +0900] "GET /board_ex09/board/list?type=T&keyword= HTTP/1.1" 200 7940
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:28:56 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:28:57 +0900] "GET /board_ex09/board/list?type=T&keyword= HTTP/1.1" 200 7940
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:28:57 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:29:32 +0900] "GET /board_ex09/board/list?type=T&keyword= HTTP/1.1" 200 7942
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:29:32 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
